ZIP_CD,PATIENT_COUNT,POPULATION,PERCENTAGE
46502,Suppressed,Suppressed,Suppressed
46771,Suppressed,Suppressed,Suppressed
46922,Suppressed,Suppressed,Suppressed
46968,Suppressed,Suppressed,Suppressed
46998,Suppressed,Suppressed,Suppressed
47034,Suppressed,Suppressed,Suppressed
47035,Suppressed,Suppressed,Suppressed
47434,Suppressed,Suppressed,Suppressed
47464,Suppressed,Suppressed,Suppressed
47869,Suppressed,Suppressed,Suppressed
47907,Suppressed,Suppressed,Suppressed
47916,Suppressed,Suppressed,Suppressed
47997,Suppressed,Suppressed,Suppressed
46045,Suppressed,Suppressed,Suppressed
46047,Suppressed,Suppressed,Suppressed
46063,Suppressed,Suppressed,Suppressed
46146,Suppressed,Suppressed,Suppressed
46508,Suppressed,Suppressed,Suppressed
46704,Suppressed,Suppressed,Suppressed
46946,Suppressed,Suppressed,Suppressed
46958,Suppressed,Suppressed,Suppressed
47160,Suppressed,Suppressed,Suppressed
47247,Suppressed,Suppressed,Suppressed
47337,Suppressed,Suppressed,Suppressed
47344,Suppressed,Suppressed,Suppressed
47361,Suppressed,Suppressed,Suppressed
47367,Suppressed,Suppressed,Suppressed
47381,Suppressed,Suppressed,Suppressed
47420,Suppressed,Suppressed,Suppressed
47455,Suppressed,Suppressed,Suppressed
47519,Suppressed,Suppressed,Suppressed
47552,Suppressed,Suppressed,Suppressed
47576,Suppressed,Suppressed,Suppressed
47836,Suppressed,Suppressed,Suppressed
47853,Suppressed,Suppressed,Suppressed
47863,Suppressed,Suppressed,Suppressed
47871,Suppressed,Suppressed,Suppressed
47880,Suppressed,Suppressed,Suppressed
47884,Suppressed,Suppressed,Suppressed
47924,Suppressed,Suppressed,Suppressed
47925,Suppressed,Suppressed,Suppressed
47969,Suppressed,Suppressed,Suppressed
47982,Suppressed,Suppressed,Suppressed
46144,Suppressed,Suppressed,Suppressed
46183,Suppressed,Suppressed,Suppressed
47263,Suppressed,Suppressed,Suppressed
47282,Suppressed,Suppressed,Suppressed
47335,Suppressed,Suppressed,Suppressed
47382,Suppressed,Suppressed,Suppressed
47388,Suppressed,Suppressed,Suppressed
47437,Suppressed,Suppressed,Suppressed
47574,Suppressed,Suppressed,Suppressed
47580,Suppressed,Suppressed,Suppressed
47654,Suppressed,Suppressed,Suppressed
47860,Suppressed,Suppressed,Suppressed
46111,Suppressed,Suppressed,Suppressed
46117,Suppressed,Suppressed,Suppressed
46127,Suppressed,Suppressed,Suppressed
46345,Suppressed,Suppressed,Suppressed
46376,Suppressed,Suppressed,Suppressed
46381,Suppressed,Suppressed,Suppressed
46537,Suppressed,Suppressed,Suppressed
47224,Suppressed,Suppressed,Suppressed
47616,Suppressed,Suppressed,Suppressed
47980,Suppressed,Suppressed,Suppressed
46104,Suppressed,Suppressed,Suppressed
46110,Suppressed,Suppressed,Suppressed
46125,Suppressed,Suppressed,Suppressed
46155,Suppressed,Suppressed,Suppressed
46290,Suppressed,Suppressed,Suppressed
46393,Suppressed,Suppressed,Suppressed
46595,Suppressed,Suppressed,Suppressed
46781,Suppressed,Suppressed,Suppressed
46786,Suppressed,Suppressed,Suppressed
46930,Suppressed,Suppressed,Suppressed
46957,Suppressed,Suppressed,Suppressed
46961,Suppressed,Suppressed,Suppressed
46967,Suppressed,Suppressed,Suppressed
46984,Suppressed,Suppressed,Suppressed
47016,Suppressed,Suppressed,Suppressed
47104,Suppressed,Suppressed,Suppressed
47114,Suppressed,Suppressed,Suppressed
47354,Suppressed,Suppressed,Suppressed
47386,Suppressed,Suppressed,Suppressed
47453,Suppressed,Suppressed,Suppressed
47528,Suppressed,Suppressed,Suppressed
47550,Suppressed,Suppressed,Suppressed
47568,Suppressed,Suppressed,Suppressed
47837,Suppressed,Suppressed,Suppressed
47855,Suppressed,Suppressed,Suppressed
47861,Suppressed,Suppressed,Suppressed
47866,Suppressed,Suppressed,Suppressed
47983,Suppressed,Suppressed,Suppressed
47994,Suppressed,Suppressed,Suppressed
46103,Suppressed,Suppressed,Suppressed
46348,Suppressed,Suppressed,Suppressed
46377,Suppressed,Suppressed,Suppressed
46379,Suppressed,Suppressed,Suppressed
46731,Suppressed,Suppressed,Suppressed
46799,Suppressed,Suppressed,Suppressed
46920,Suppressed,Suppressed,Suppressed
46943,Suppressed,Suppressed,Suppressed
47123,Suppressed,Suppressed,Suppressed
47162,Suppressed,Suppressed,Suppressed
47226,Suppressed,Suppressed,Suppressed
47524,Suppressed,Suppressed,Suppressed
47596,Suppressed,Suppressed,Suppressed
47612,Suppressed,Suppressed,Suppressed
47854,Suppressed,Suppressed,Suppressed
47881,Suppressed,Suppressed,Suppressed
47955,Suppressed,Suppressed,Suppressed
47958,Suppressed,Suppressed,Suppressed
47981,Suppressed,Suppressed,Suppressed
46915,Suppressed,Suppressed,Suppressed
46931,Suppressed,Suppressed,Suppressed
47116,Suppressed,Suppressed,Suppressed
47120,Suppressed,Suppressed,Suppressed
47351,Suppressed,Suppressed,Suppressed
47431,Suppressed,Suppressed,Suppressed
47467,Suppressed,Suppressed,Suppressed
47522,Suppressed,Suppressed,Suppressed
47536,Suppressed,Suppressed,Suppressed
47537,Suppressed,Suppressed,Suppressed
47590,Suppressed,Suppressed,Suppressed
47640,Suppressed,Suppressed,Suppressed
47849,Suppressed,Suppressed,Suppressed
47857,Suppressed,Suppressed,Suppressed
47942,Suppressed,Suppressed,Suppressed
47949,Suppressed,Suppressed,Suppressed
47964,Suppressed,Suppressed,Suppressed
47965,Suppressed,Suppressed,Suppressed
46057,Suppressed,Suppressed,Suppressed
46058,220,2149,10.237300
46150,Suppressed,Suppressed,Suppressed
46791,Suppressed,Suppressed,Suppressed
46913,Suppressed,Suppressed,Suppressed
46959,Suppressed,Suppressed,Suppressed
46987,Suppressed,Suppressed,Suppressed
46988,Suppressed,Suppressed,Suppressed
47010,Suppressed,Suppressed,Suppressed
47036,Suppressed,Suppressed,Suppressed
47270,Suppressed,Suppressed,Suppressed
47280,Suppressed,Suppressed,Suppressed
47325,Suppressed,Suppressed,Suppressed
47385,101,1612,6.265500
47449,Suppressed,Suppressed,Suppressed
47451,Suppressed,Suppressed,Suppressed
47465,Suppressed,Suppressed,Suppressed
47529,Suppressed,Suppressed,Suppressed
47578,Suppressed,Suppressed,Suppressed
47584,Suppressed,Suppressed,Suppressed
47597,Suppressed,Suppressed,Suppressed
47876,Suppressed,Suppressed,Suppressed
47943,Suppressed,Suppressed,Suppressed
46070,175,2351,7.443600
46162,Suppressed,Suppressed,Suppressed
46175,Suppressed,Suppressed,Suppressed
46745,137,1841,7.441600
46759,Suppressed,Suppressed,Suppressed
46974,98,1699,5.768000
47011,Suppressed,Suppressed,Suppressed
47017,Suppressed,Suppressed,Suppressed
47110,Suppressed,Suppressed,Suppressed
47223,Suppressed,Suppressed,Suppressed
47234,Suppressed,Suppressed,Suppressed
47244,Suppressed,Suppressed,Suppressed
47427,Suppressed,Suppressed,Suppressed
47469,92,1749,5.260100
47513,112,1841,6.083600
47516,Suppressed,Suppressed,Suppressed
47521,Suppressed,Suppressed,Suppressed
47551,Suppressed,Suppressed,Suppressed
47585,Suppressed,Suppressed,Suppressed
47966,Suppressed,Suppressed,Suppressed
47967,Suppressed,Suppressed,Suppressed
46076,86,1696,5.070700
46216,122,1697,7.189100
46301,Suppressed,Suppressed,Suppressed
46340,Suppressed,Suppressed,Suppressed
46365,Suppressed,Suppressed,Suppressed
46747,115,2693,4.270300
47003,Suppressed,Suppressed,Suppressed
47142,Suppressed,Suppressed,Suppressed
47339,Suppressed,Suppressed,Suppressed
47342,126,2693,4.678700
47369,Suppressed,Suppressed,Suppressed
47387,Suppressed,Suppressed,Suppressed
47468,Suppressed,Suppressed,Suppressed
47470,95,1735,5.475500
47514,214,1559,13.726700
47525,Suppressed,Suppressed,Suppressed
47535,Suppressed,Suppressed,Suppressed
47575,Suppressed,Suppressed,Suppressed
47577,Suppressed,Suppressed,Suppressed
47611,Suppressed,Suppressed,Suppressed
47619,100,1696,5.896200
47631,130,2042,6.366300
47637,78,1507,5.175800
47708,Suppressed,Suppressed,Suppressed
47832,Suppressed,Suppressed,Suppressed
47841,86,2138,4.022400
47929,Suppressed,Suppressed,Suppressed
47930,Suppressed,Suppressed,Suppressed
47974,Suppressed,Suppressed,Suppressed
46017,324,6025,5.377500
46035,Suppressed,Suppressed,Suppressed
46950,Suppressed,Suppressed,Suppressed
47135,Suppressed,Suppressed,Suppressed
47147,Suppressed,Suppressed,Suppressed
47163,88,1746,5.040000
47231,Suppressed,Suppressed,Suppressed
47264,Suppressed,Suppressed,Suppressed
47324,Suppressed,Suppressed,Suppressed
47360,98,1546,6.338900
47541,Suppressed,Suppressed,Suppressed
47557,Suppressed,Suppressed,Suppressed
47846,Suppressed,Suppressed,Suppressed
47848,107,1691,6.327600
47917,Suppressed,Suppressed,Suppressed
47921,Suppressed,Suppressed,Suppressed
47926,Suppressed,Suppressed,Suppressed
47940,Suppressed,Suppressed,Suppressed
47989,Suppressed,Suppressed,Suppressed
46068,166,2850,5.824500
46105,88,1928,4.564300
46156,Suppressed,Suppressed,Suppressed
46165,Suppressed,Suppressed,Suppressed
46531,Suppressed,Suppressed,Suppressed
46571,212,5532,3.832200
46702,103,2304,4.470400
46764,Suppressed,Suppressed,Suppressed
46766,Suppressed,Suppressed,Suppressed
46776,Suppressed,Suppressed,Suppressed
